,Tickers,day_of
60833,PPG,1986-07-21
60834,PPG,1986-07-21
60835,PPG,1987-06-25
60836,PPG,1987-12-10
60837,BP,1998-06-18
60838,AGNG,1973-05-24
60839,SCPE,2003-09-03
60840,FMC,1976-09-20
60841,FMC,1977-06-17
60842,FMC,1981-06-05
60843,LB,1994-08-11
60844,SOS,1974-02-04
60845,SOS,1975-04-17
60846,SOS,1975-05-14
60847,SOS,1975-08-04
60848,SOS,1975-06-27
60849,SOS,1978-07-10
60850,CTS,2001-08-31
60851,FMC,1983-04-22
60852,FMC,1985-05-07
60853,FMC,1986-05-19
60854,AGNG,2006-10-13
60855,ECOL,1992-02-03
60856,FMC,1974-04-23
60857,FMC,1975-04-16
60858,FMC,1974-08-26
60859,FMC,1975-04-17
60860,FMC,1979-12-10
60861,SGH,1991-11-25
60862,XRAY,2000-01-24
60863,FMC,1999-05-26
60864,FMC,2001-02-15
60865,FMC,2002-05-31
60866,FMC,2001-12-18
60867,FMC,2001-02-15
60868,ECOL,1998-09-28
60869,VSEC,1995-06-09
60870,XL,1989-03-20
60871,MMM,1997-05-14
60872,MMM,2000-03-21
60873,ITT,1978-12-18
60874,ITT,1979-11-07
60875,ITT,1980-04-28
60876,MKSI,2004-04-01
60877,UVE,2004-06-22
60878,SGH,2002-05-02
60879,LB,1994-04-04
60880,LPL,1998-11-23
60881,RFIL,2002-04-26
60882,ITT,1998-02-17
60883,ITT,1998-02-17
60884,ITT,1996-11-21
60885,ITT,1994-12-08
60886,ITT,1994-12-21
60887,ITT,2001-06-15
60888,ITT,2000-11-21
60889,ITT,2002-08-29
60890,FMC,1976-02-03
60891,UVE,2002-05-29
60892,SAIC,1999-12-16
60893,LYTS,2001-04-25
60894,LB,2002-10-24
60895,LB,2004-08-20
60896,ECOL,1998-11-23
60897,CNHI,2003-08-13
60898,CNHI,2005-07-12
60899,CNHI,2006-08-31
60900,CNHI,2005-08-18
60901,CNHI,2007-03-06
60902,MMM,1998-06-01
60903,PPG,1973-12-06
60904,PPG,1974-04-29
60905,PPG,1974-10-15
60906,PPG,1976-01-19
60907,PPG,1976-01-19
60908,PPG,1987-08-31
60909,PPG,1989-06-21
60910,PPG,1990-06-25
60911,CSX,1988-09-01
60912,CVV,1984-02-08
60913,MMM,1997-01-08
60914,NSSC,1983-08-26
60915,BBL,1996-01-11
60916,HNI,2002-04-01
60917,ABB,1988-10-20
60918,ITT,1982-04-22
60919,ITT,1982-04-22
60920,ITT,1982-04-22
60921,ITT,1982-04-22
60922,ITT,1982-04-22
60923,ITT,1985-03-29
60924,LB,1983-08-11
60925,LB,1988-03-14
60926,ARR,1975-02-12
60927,MKSI,2005-03-07
60928,AME,1975-05-08
60929,CNSP,2002-07-11
60930,CNSP,2006-11-29
60931,ITT,1984-05-25
60932,AME,1985-02-22
60933,AME,1985-05-17
60934,AME,1985-10-07
60935,AME,1986-07-21
60936,UVE,1987-11-16
60937,ICLR,1991-05-06
60938,MIND,1997-03-12
60939,UVE,1997-11-08
60940,ECOL,1997-11-06
60941,ECOL,1998-02-05
60942,ARR,1979-09-10
60943,JJSF,1976-11-08
60944,LB,1973-07-27
60945,LYTS,2001-04-20
60946,LYTS,2002-05-24
60947,LYTS,2002-06-06
60948,LYTS,2002-06-06
60949,LB,1999-07-15
60950,MMM,2004-05-27
60951,GSQD,1973-02-05
60952,GSQD,1974-11-27
60953,GSQD,1975-06-06
60954,GSQD,1976-01-27
60955,GSQD,1975-07-25
60956,GSQD,1982-09-03
60957,GSQD,1983-07-13
60958,GSQD,1985-03-08
60959,QCOM,1997-10-24
60960,QCOM,1998-10-14
60961,QCOM,1998-07-21
60962,QCOM,1996-09-27
60963,QCOM,1999-07-22
60964,QCOM,1999-06-25
60965,QCOM,1999-11-09
60966,QCOM,1999-03-30
60967,QCOM,1998-10-29
60968,QCOM,1999-07-29
60969,QCOM,2000-12-29
60970,QCOM,1999-08-17
60971,QCOM,2001-06-12
60972,QCOM,2003-06-23
60973,QCOM,2003-07-21
60974,QCOM,2003-05-01
60975,QCOM,2004-06-30
60976,QCOM,2004-09-28
60977,QCOM,2004-09-13
60978,QCOM,2005-12-12
60979,QCOM,2005-07-07
60980,DDD,1990-10-12
60981,DDD,1991-11-25
60982,SPSC,1976-03-19
60983,SPSC,1977-05-26
60984,SPSC,1982-05-12
60985,LB,1999-08-17
60986,PPG,1979-05-09
60987,FLIR,2006-03-20
60988,FMC,1982-09-30
60989,MMM,1997-12-01
60990,MMM,2000-05-11
60991,MMM,1997-01-09
60992,MMM,2004-01-20
60993,MMM,2002-08-06
60994,LYTS,1992-08-26
60995,LYTS,1997-03-06
60996,LYTS,1997-04-08
60997,LYTS,1997-03-03
60998,LYTS,1996-12-20
60999,LYTS,1999-07-12
61000,NVDA,2002-12-11
61001,NVDA,2002-12-11
61002,LYTS,2003-07-15
61003,ABB,2002-11-25
61004,ECOL,2004-10-26
61005,ADCT,1997-10-07
61006,ECOL,1974-10-21
61007,MKSI,1997-04-10
61008,MKSI,2002-04-22
61009,MKSI,2000-12-28
61010,MKSI,2002-06-13
61011,MKSI,2000-10-10
61012,QCOM,1999-04-08
61013,QCOM,1998-08-31
61014,QCOM,1999-01-28
61015,QCOM,1999-06-28
61016,QCOM,1998-12-03
61017,QCOM,2000-07-07
61018,QCOM,1998-10-27
61019,QCOM,2001-04-12
61020,QCOM,2000-07-19
61021,QCOM,2000-06-02
61022,QCOM,2000-12-04
61023,QCOM,1999-10-22
61024,QCOM,1999-01-28
61025,QCOM,2002-11-01
61026,QCOM,2000-11-30
61027,QCOM,2000-10-25
61028,QCOM,2003-12-16
61029,QCOM,2001-02-15
61030,QCOM,2001-04-02
61031,QCOM,2000-10-25
61032,QCOM,2003-12-16
61033,QCOM,2004-07-28
61034,QCOM,2003-12-18
61035,QCOM,2003-07-23
61036,E,1994-07-14
61037,E,1997-02-14
