,Tickers,day_of
23751,MMM,2001-06-14
23752,OSIS,1995-02-02
23753,NCR,1980-10-06
23754,ITT,1974-11-22
23755,ITT,1975-07-28
23756,NCR,1976-01-13
23757,NCR,1978-11-20
23758,NCR,1979-11-13
23759,NCR,1981-03-26
23760,NCR,1983-01-10
23761,NCR,1985-02-25
23762,NCR,1985-02-25
23763,MMM,1997-02-14
23764,MMM,1998-02-11
23765,MMM,1996-06-13
23766,MMM,2002-09-19
23767,MMM,2002-09-19
23768,MMM,2002-09-19
23769,MMM,2004-10-27
23770,DNZ,1974-09-18
23771,JJSF,1995-06-16
23772,FMC,1973-05-23
23773,FMC,1977-03-17
23774,FMC,1977-08-11
23775,FMC,1981-12-11
23776,DNZ,1970-10-12
23777,DNZ,1987-10-30
23778,DWPP,1996-06-04
23779,DWPP,1998-05-19
23780,DWPP,1998-05-19
23781,MMM,2001-04-23
23782,MMM,2000-11-22
23783,MMM,2000-11-22
23784,MMM,1998-10-15
23785,MMM,1999-10-26
23786,NCR,1979-07-18
23787,NCR,1985-11-25
23788,NCR,1986-10-24
23789,NCR,1987-04-16
23790,NCR,1988-06-29
23791,NCR,1987-04-08
23792,NCR,1989-04-20
23793,NCR,1990-11-05
23794,NCR,1996-12-10
23795,NCR,1995-12-21
23796,NCR,1996-08-19
23797,ECOL,1994-09-23
23798,PFIN,1975-02-07
23799,CTS,1993-11-08
23800,MMM,2003-05-28
23801,ITT,1975-12-09
23802,NCR,1976-01-13
23803,FMC,1976-04-19
23804,ECOL,1994-07-20
23805,JJSF,1990-01-02
23806,JJSF,1991-08-05
23807,GSQD,1976-01-12
23808,TCP,1994-08-03
23809,TCP,1997-03-06
23810,MMM,1992-05-21
23811,MMM,1999-06-10
23812,MMM,2001-04-23
23813,MMM,1996-10-07
23814,MMM,1999-08-13
23815,MMM,2000-02-10
23816,MMM,2003-02-06
23817,MMM,2002-01-16
23818,NCR,1994-07-20
23819,NCR,1994-09-18
23820,RES,1994-01-27
23821,ARR,1972-07-21
23822,MMM,1994-01-21
23823,ITT,1994-07-06
23824,ITT,1997-02-18
23825,ITT,2000-05-30
23826,XRAY,1977-06-13
23827,XRAY,1977-03-14
23828,XRAY,1978-05-26
23829,XRAY,1978-08-18
23830,XRAY,1980-08-29
23831,XRAY,1981-06-16
23832,XRAY,1983-02-01
23833,XRAY,1983-09-30
23834,XRAY,1983-12-28
23835,XRAY,1985-02-27
23836,XRAY,1984-04-06
23837,XRAY,1984-12-14
23838,XRAY,1983-05-06
23839,MMM,2002-04-03
23840,MMM,2004-10-06
23841,MMM,2002-04-03
23842,GSQD,1977-03-15
23843,DNZ,1995-06-07
23844,FMC,1988-11-07
23845,FMC,1991-10-04
23846,FMC,1997-08-22
23847,PPG,1987-12-21
23848,PPG,1982-09-30
23849,GCP,2001-10-29
23850,FMC,1990-02-02
23851,FMC,1991-10-07
23852,FMC,1991-05-10
23853,FMC,1992-01-22
23854,FMC,1991-04-29
23855,FMC,1991-09-20
23856,FMC,1992-12-10
23857,FMC,1993-03-31
23858,FMC,1996-04-11
23859,ITT,1979-11-13
23860,LYTS,1998-03-19
23861,LYTS,1998-03-19
23862,LYTS,1999-12-15
23863,GSQD,1993-04-28
23864,DNZ,2002-05-30
23865,SLG,1989-06-15
23866,SLG,1990-02-07
23867,SLG,1990-03-15
23868,SLG,1991-08-09
23869,NCR,1978-06-12
23870,NCR,1981-10-02
23871,NCR,1984-07-02
23872,NCR,1982-11-01
23873,NCR,1985-09-03
23874,NCR,1986-12-03
23875,NCR,1985-09-03
23876,NCR,1987-06-29
23877,ADCT,2002-08-28
23878,ADCT,2002-04-22
23879,ADCT,2001-11-21
23880,ECOL,1973-05-08
23881,ECOL,1973-05-21
23882,ECOL,1975-06-23
23883,ECOL,1977-03-25
23884,ESE,1974-01-07
23885,ESE,1977-01-28
23886,ESE,1978-02-27
23887,ECOL,1986-05-02
23888,ECOL,1992-02-26
23889,ITT,2001-07-20
23890,ITT,2005-10-07
23891,ITT,2001-06-07
23892,ABB,1999-02-02
23893,UVE,1993-05-07
23894,UVE,1993-12-29
23895,UVE,1993-10-22
23896,UVE,1993-10-22
23897,UVE,1995-10-22
23898,UVE,1996-03-04
23899,UVE,1997-01-17
23900,UVE,1997-03-13
23901,UVE,1997-04-04
23902,NCR,1997-07-31
23903,UVE,1998-03-16
23904,UVE,1997-09-09
23905,UVE,1995-12-22
23906,UVE,1999-11-18
23907,UVE,2000-08-29
23908,UVE,1998-03-03
23909,UVE,2000-06-08
23910,UVE,2000-09-13
23911,NCR,2000-04-27
23912,MSA,1995-09-25
23913,SGH,1996-12-03
23914,MMM,1997-09-26
23915,MMM,1997-05-19
23916,MMM,1998-03-26
23917,MMM,2000-12-15
23918,MMM,2002-03-27
23919,MMM,2000-11-28
23920,MMM,2003-05-05
23921,MMM,2005-03-07
23922,MMM,2004-04-21
23923,MMM,2003-11-04
23924,ECOL,1977-05-20
23925,NCR,2006-11-17
23926,CMPS,2002-02-28
23927,CMPS,2001-11-14
23928,CMPS,2006-10-13
23929,JJSF,1979-07-16
23930,ITT,1995-06-05
23931,ITT,1996-09-09
23932,ITT,2000-11-08
23933,STE,1991-04-05
23934,FLOW,2003-10-01
23935,GSQD,1995-09-29
23936,GSQD,1996-09-20
23937,GSQD,1993-11-30
23938,GSQD,1993-11-30
23939,GSQD,1993-11-08
23940,GSQD,1995-06-01
23941,GSQD,1995-06-01
23942,GSQD,1995-06-01
23943,GSQD,1995-06-01
23944,GSQD,1995-11-19
23945,GSQD,1995-11-19
23946,GSQD,1996-07-27
23947,GSQD,1995-11-19
23948,GSQD,1995-11-19
23949,GSQD,1996-05-30
23950,GSQD,1998-01-12
23951,GSQD,1999-11-24
23952,GSQD,2002-04-17
23953,GSQD,2003-03-04
23954,RES,2006-02-10
23955,SCPE,2005-05-31
23956,SCPE,2005-03-15
23957,SCPE,2008-01-18
23958,SCPE,2007-06-13
23959,SCPE,1999-06-17
23960,SCPE,2000-05-25
23961,SCPE,2002-01-24
23962,DNZ,1994-06-01
23963,ICLR,1991-07-02
23964,GSIT,1998-03-05
23965,GSIT,2000-02-17
23966,GSIT,2002-03-27
23967,GSIT,2002-01-22
23968,GSIT,2002-09-16
23969,GSIT,2002-03-27
23970,GSIT,2002-03-27
23971,GSIT,2004-02-26
23972,GSIT,2004-07-30
23973,GSIT,2006-01-16
23974,GSIT,2000-12-11
23975,GSIT,2005-05-09
23976,GSIT,2005-04-08
23977,GSIT,2006-11-07
23978,GSIT,2006-05-02
23979,GSIT,2006-10-27
23980,PCAR,1976-10-22
23981,PCAR,1976-10-22
23982,JJSF,1974-02-13
23983,SGH,1995-07-10
23984,SGH,1996-07-09
23985,SGH,1995-10-23
23986,GOAC,2006-04-11
23987,ABB,2000-07-19
23988,FLOW,2004-05-14
23989,NL,1975-02-21
23990,MMM,1997-12-05
23991,SAIC,1995-06-05
23992,SAIC,1994-08-08
23993,SAIC,2004-05-03
23994,ITT,1999-04-28
23995,ITT,2002-07-12
23996,ITT,1998-12-22
23997,QCOM,2005-08-02
23998,QCOM,2008-04-14
23999,ITT,2005-12-21
24000,ITT,2005-12-21
24001,ITT,2005-12-21
24002,FFIV,2002-01-25
24003,FFIV,2002-07-16
24004,RFIL,2005-08-08
24005,ABB,2002-12-10
24006,ABB,2004-05-21
24007,TCP,1995-07-05
24008,TCP,1995-07-05
24009,MMM,2001-01-04
24010,MMM,2006-10-23
24011,MMM,2003-12-02
24012,MMM,2005-09-08
24013,MMM,2006-10-23
24014,MMM,2008-02-12
24015,NCR,1976-11-22
24016,NCR,1978-04-11
24017,NCR,1978-04-11
24018,NCR,1977-07-01
24019,NCR,1984-08-27
24020,NCR,1985-12-16
24021,NCR,1986-10-24
24022,NCR,1986-11-10
24023,NCR,1987-04-16
24024,NCR,1987-06-22
24025,NCR,1988-11-23
24026,NCR,1989-05-05
24027,NCR,1989-12-27
24028,NCR,1990-10-17
24029,NCR,1987-06-04
24030,GSIT,2004-09-15
24031,GSIT,2003-07-07
24032,GSIT,2007-02-28
24033,GSIT,2006-11-09
24034,GSIT,2000-02-17
24035,GSIT,2000-12-11
24036,MKSI,1999-11-18
24037,MKSI,2002-06-13
24038,MKSI,2001-12-14
24039,MKSI,2004-03-23
24040,MKSI,2003-10-20
24041,MKSI,2002-12-06
24042,MKSI,2006-12-11
24043,MKSI,2005-11-08
24044,BEST,1995-02-21
24045,BEST,1991-05-17
24046,ABB,2004-10-07
24047,ABB,2005-01-13
24048,NCR,1977-12-16
24049,NCR,1982-12-09
24050,NCR,1984-03-28
24051,NCR,1987-06-11
24052,UVE,2000-04-19
24053,ECOL,1998-11-30
24054,FMC,2000-11-01
24055,ITT,1976-06-16
24056,KLAC,1987-10-05
24057,PPG,1997-06-13
24058,STE,2004-07-08
24059,PPG,1977-01-13
24060,NCR,1989-10-26
24061,NCR,1989-11-16
24062,NCR,1992-03-02
24063,NCR,1992-07-02
24064,NCR,1996-09-06
24065,NCR,1996-05-30
24066,NCR,1997-10-30
24067,NCR,1997-10-30
24068,NCR,1998-12-04
24069,NCR,1999-10-20
24070,NCR,1998-05-29
24071,NCR,1999-11-02
24072,NCR,2001-03-07
24073,NCR,2001-03-07
24074,NCR,2000-02-10
24075,NCR,2000-11-15
24076,NCR,2002-09-04
24077,AGNG,2000-04-21
24078,AGNG,2001-11-28
24079,AGNG,2001-11-21
24080,AGNG,2001-11-26
24081,AGNG,2001-05-18
24082,AGNG,2001-07-06
24083,AGNG,2003-09-29
24084,AGNG,2003-01-07
24085,AGNG,2002-11-15
24086,AGNG,2002-08-13
24087,AGNG,2005-01-20
24088,AGNG,2003-09-19
24089,AGNG,2006-12-29
24090,ECOL,1974-03-14
24091,USDP,1981-04-27
24092,USDP,1982-09-28
24093,ECOL,1993-08-23
24094,ECOL,1995-04-28
24095,FMC,1978-07-28
24096,ITT,1978-05-30
24097,ITT,1987-11-18
24098,GSIT,2006-11-09
24099,QCOM,1999-04-02
24100,SAIC,1994-02-23
24101,UVE,1990-02-05
24102,FMC,1994-10-14
24103,FMC,1994-12-05
24104,CVU,1996-10-17
24105,GSQD,1991-02-19
24106,GSQD,1992-12-03
24107,JJSF,1974-01-21
24108,JJSF,1974-01-22
24109,JJSF,1976-05-12
24110,PPG,1976-01-29
24111,PPG,1976-01-29
24112,PPG,1975-10-01
24113,PPG,1976-12-01
24114,PPG,1997-09-12
24115,PPG,1974-07-23
24116,PPG,1975-08-18
24117,PPG,1976-05-13
24118,PPG,1977-05-10
24119,PPG,1981-05-29
24120,PPG,1981-05-29
24121,PPG,1982-09-23
24122,PPG,1982-09-23
24123,PPG,1987-07-31
24124,ITT,1994-09-30
24125,ITT,1996-09-30
24126,GSQD,1975-05-12
24127,CNHI,2004-04-12
24128,CNHI,2004-10-15
24129,CNHI,2004-10-15
24130,CNHI,2004-10-21
24131,MMM,1998-09-11
24132,MMM,1997-01-24
24133,MMM,2004-12-30
24134,MMM,2004-12-30
24135,MMM,2004-12-30
24136,NCR,1974-01-04
24137,NCR,1974-01-04
24138,NCR,1975-08-01
24139,NCR,1975-08-01
24140,AME,1975-11-26
24141,GSQD,1984-07-31
24142,LYTS,1998-03-05
24143,PCAR,1977-02-17
24144,PCAR,1980-07-28
24145,PCAR,1987-03-23
24146,PCAR,1987-10-05
24147,PCAR,1990-08-06
24148,PCAR,1990-04-27
24149,PCAR,1993-01-11
24150,PCAR,1994-06-15
24151,PCAR,1995-03-07
24152,PCAR,1995-05-16
24153,ITT,1982-08-30
24154,NCR,1985-10-25
24155,NL,1987-09-18
24156,JJSF,1974-01-21
24157,MMM,2003-09-19
24158,ECOL,1996-04-04
24159,ECOL,1997-11-26
24160,PFIN,1975-05-06
24161,FLOW,2004-05-14
24162,NCR,1991-11-25
24163,NCR,1992-09-02
24164,LYTS,1996-09-30
24165,LYTS,1996-12-23
24166,LYTS,1997-08-01
24167,LYTS,1998-12-31
24168,LYTS,1999-03-08
24169,LYTS,1996-10-28
24170,LYTS,2001-11-09
24171,NCR,1980-12-17
24172,NCR,1981-09-28
24173,FLNG,2000-01-21
24174,FLNG,2002-06-05
24175,JJSF,2000-08-18
24176,JJSF,2000-08-18
24177,PPG,1979-04-30
24178,FMC,1979-07-19
24179,FMC,1979-12-04
24180,FMC,1980-05-19
24181,SAIC,1998-05-28
24182,SAIC,1998-05-27
24183,SAIC,2000-07-24
24184,DDD,1987-01-20
24185,DNZ,1976-04-05
24186,MMM,1997-12-09
24187,MMM,1998-05-01
24188,MMM,2000-07-06
24189,DWPP,1974-04-08
24190,DDD,2002-07-25
24191,DNZ,1988-07-27
24192,FMC,1976-07-09
24193,HPQ,2003-10-10
24194,PSB,2005-02-23
24195,FMC,1973-07-11
24196,JJSF,2003-05-28
24197,MMM,1998-11-03
24198,PPG,1974-08-01
24199,UVE,1999-07-12
24200,UVE,1999-07-12
24201,UVE,1999-07-12
24202,PPG,2003-06-19
24203,PPG,1985-09-03
24204,ECOL,1993-05-24
24205,ITT,2003-03-12
24206,ITT,2005-06-27
24207,PPG,1980-05-22
24208,PPG,1983-05-04
24209,PPG,1986-01-02
24210,PPG,1988-12-30
24211,PPG,1988-10-11
24212,PPG,1998-06-15
24213,UVE,1980-05-13
24214,UVE,1980-05-29
24215,UVE,1980-06-30
24216,MMM,1999-06-10
24217,ADCT,2003-04-09
24218,ADCT,2003-04-16
24219,ADCT,2002-12-03
24220,ADCT,2005-03-31
24221,ADCT,2005-03-31
24222,ADCT,2005-03-31
24223,ADCT,2005-03-31
24224,ADCT,2006-09-01
24225,ADCT,2007-01-18
24226,ADCT,2008-01-25
24227,ADCT,2008-03-17
24228,ADCT,2005-03-31
24229,ADCT,2005-03-31
24230,ADCT,2005-03-31
24231,MMM,1999-04-05
24232,MMM,1996-12-06
24233,MMM,2003-03-25
24234,MMM,2005-04-20
24235,PPG,1975-09-29
24236,FMC,2001-07-23
24237,FMC,2000-10-13
24238,FMC,2000-08-17
24239,FMC,2001-03-12
24240,FMC,2000-09-01
24241,PPG,1975-11-12
24242,USCR,2007-12-11
24243,DWPP,2006-09-22
24244,DWPP,2006-06-02
24245,ECOL,1991-11-19
24246,ECOL,1996-02-20
24247,DNZ,1991-04-08
24248,JJSF,2000-11-15
24249,UVE,1988-07-05
24250,EDOG,1996-10-29
24251,UVE,1977-04-04
24252,LYTS,1995-10-27
24253,LYTS,1997-09-04
24254,LYTS,1997-12-19
24255,LYTS,1998-10-19
24256,LYTS,1995-12-29
24257,LYTS,1995-05-23
24258,LYTS,1999-03-23
24259,LYTS,1997-12-19
24260,LYTS,2000-10-23
24261,LYTS,2000-12-11
24262,LYTS,2001-01-05
24263,LYTS,2001-06-15
24264,LYTS,2001-06-15
24265,LYTS,2001-04-13
24266,LYTS,2000-11-27
24267,LYTS,2001-06-01
24268,LYTS,2001-05-11
24269,LYTS,2000-08-25
24270,LYTS,2001-04-13
24271,LYTS,2002-04-30
24272,LYTS,2002-07-18
24273,LYTS,2002-06-18
24274,LYTS,2004-04-02
24275,LYTS,2004-12-29
24276,FMC,1980-03-17
24277,FMC,1968-05-27
24278,USCR,1989-08-30
24279,DWPP,2001-11-16
24280,DWPP,2003-09-09
24281,GSQD,1990-11-02
24282,GSQD,2001-02-20
24283,GSQD,2001-09-13
24284,GSQD,2005-12-23
24285,GSQD,2004-10-05
24286,INFO,1998-09-10
24287,INFO,2000-04-07
24288,INFO,2000-04-07
24289,INFO,2001-11-05
24290,PPG,1971-08-03
24291,PPG,1974-08-05
24292,PPG,1976-07-30
24293,PPG,1978-03-30
24294,PPG,1978-04-17
24295,PPG,1978-04-03
24296,PPG,1978-11-06
24297,PPG,1983-12-29
24298,PPG,1985-11-26
24299,PPG,1986-05-12
24300,PPG,1987-01-07
24301,MMM,1998-10-28
24302,MMM,1998-10-28
24303,MMM,1998-10-28
24304,AME,1986-01-14
24305,MMM,1998-05-27
24306,MMM,1999-10-27
24307,NCR,1999-09-30
24308,NCR,2000-09-29
24309,NCR,2002-09-23
24310,ABB,1997-07-23
24311,ABB,1999-02-09
24312,RLJ,1994-09-14
24313,ECOL,1973-12-14
24314,ECOL,1977-05-19
24315,ECOL,1976-05-25
24316,ECOL,1974-11-07
24317,ECOL,1979-11-13
24318,ECOL,1981-08-10
24319,ECOL,1983-09-22
24320,JJSF,1977-11-14
24321,ASML,2001-02-28
24322,ASML,2001-06-30
24323,ASML,2001-06-30
24324,CTS,1980-08-14
24325,CTS,1982-09-24
24326,CTS,1992-08-21
24327,CTS,1992-08-21
24328,DNZ,1990-02-28
24329,MMM,1999-09-23
24330,USCR,2005-12-08
24331,PPG,1994-11-23
24332,PPG,1996-11-23
24333,RES,1974-11-20
24334,RES,1974-11-29
24335,JJSF,1981-09-18
24336,LYTS,2003-05-08
24337,NCR,1995-10-23
24338,NCR,2001-12-07
24339,PPG,2002-04-29
24340,PPG,2003-04-28
24341,DWPP,2001-06-26
24342,ITT,1975-04-28
24343,ADCT,1999-01-07
24344,FMC,1975-09-22
24345,MMM,1998-05-15
24346,MMM,2001-09-21
24347,MMM,2002-04-22
24348,PPG,1996-09-18
24349,PPG,1998-11-17
24350,ITT,2005-08-02
24351,ITT,2007-03-30
24352,ITT,1992-04-21
24353,PFIN,1996-02-01
24354,PFIN,1998-05-29
24355,MMM,1996-12-16
24356,MMM,1997-12-19
24357,MMM,1996-04-08
24358,MMM,2000-10-16
24359,MMM,1999-05-17
24360,DNZ,1986-07-23
24361,LYTS,2005-04-27
24362,LYTS,2005-05-11
24363,LYTS,2005-05-02
24364,LYTS,2005-05-09
24365,LYTS,2005-05-24
24366,LYTS,2005-05-13
24367,LYTS,2005-04-25
24368,LYTS,2005-05-20
24369,LYTS,2005-12-23
24370,APA,1991-02-01
24371,APA,1991-05-17
24372,APA,1992-06-08
24373,APA,1993-03-03
24374,QCOM,1996-10-11
24375,QCOM,2001-07-16
24376,ADCT,2000-06-23
24377,PTC,2005-03-15
24378,XRAY,1973-07-11
24379,HPQ,1989-10-26
24380,MMM,1997-08-18
24381,MMM,1999-08-04
24382,GSIT,1999-12-28
24383,GSIT,2002-03-27
24384,GSIT,2002-01-22
24385,GSIT,2001-08-28
24386,GSIT,2002-03-27
24387,GSIT,2002-01-07
24388,GSIT,2000-08-07
24389,GSIT,2004-07-27
24390,GSIT,2002-03-27
24391,GSIT,2004-12-07
24392,GSIT,2001-12-13
24393,GSIT,2004-07-30
24394,GSIT,2002-03-27
24395,GSIT,2006-01-16
24396,GSIT,2005-05-09
24397,GSIT,2006-11-07
24398,GSIT,2006-05-02
24399,GSIT,2005-12-19
24400,LYTS,1997-08-11
24401,LYTS,2000-04-11
24402,NCR,1978-03-24
24403,ECOL,1974-03-08
24404,JJSF,1987-01-20
24405,PPG,1996-08-29
24406,PPG,1998-06-23
24407,PPG,2001-03-02
24408,PPG,2002-01-09
24409,PPG,2003-06-12
24410,PPG,2003-06-12
24411,NCR,1990-12-10
24412,NCR,1996-11-06
24413,NCR,1994-05-17
24414,FMC,1975-03-31
24415,FMC,1976-07-22
24416,FMC,1976-07-22
24417,FMC,1977-10-11
24418,AME,1992-01-22
24419,AME,1993-06-02
24420,PPG,1974-01-04
24421,PPG,1974-06-27
24422,PPG,1976-06-09
24423,PPG,1977-09-16
24424,PPG,1977-12-08
24425,PPG,1980-07-07
24426,PPG,1979-09-19
24427,PPG,1973-07-20
24428,PPG,1972-11-24
24429,PPG,1979-01-24
24430,PPG,1980-03-31
24431,PPG,1980-02-11
24432,PPG,1981-04-03
24433,PPG,1981-02-12
24434,PPG,1981-06-22
24435,PPG,1983-05-19
24436,PPG,1985-06-10
24437,PPG,1986-06-02
24438,PPG,1986-11-04
24439,PPG,1986-11-04
24440,PPG,1990-03-07
24441,PPG,1991-01-03
24442,PPG,1992-02-25
24443,PPG,1997-07-26
24444,PPG,1998-07-29
24445,PPG,2000-04-28
24446,PPG,2000-04-28
24447,PPG,2005-02-24
24448,CMPS,1979-11-28
24449,ECOL,1975-06-13
24450,CTS,1999-09-21
24451,GSQD,1983-10-06
24452,GSQD,1984-04-12
24453,GSQD,1984-04-16
24454,GSQD,1985-01-22
24455,GSQD,1984-09-14
24456,GSQD,1985-01-22
24457,GSQD,1986-04-14
24458,GSQD,1986-07-14
24459,GSQD,1987-02-13
24460,GSQD,1986-07-14
24461,GSQD,1987-02-13
24462,GSQD,1987-02-13
24463,GSQD,1986-07-14
24464,GSQD,1988-01-20
24465,GSQD,1988-01-20
24466,GSQD,1988-01-20
24467,GSQD,1988-09-30
24468,GSQD,1991-05-21
24469,GSQD,1991-05-21
24470,GSQD,1992-05-20
24471,GSQD,1993-06-16
24472,GSQD,1991-12-09
24473,GSQD,1993-09-24
24474,GSQD,1992-08-13
24475,GSQD,1994-06-09
24476,GSQD,1994-06-09
24477,GSQD,1994-05-18
24478,GSQD,1993-10-08
24479,GSQD,1995-02-22
24480,GSQD,1995-07-14
24481,GSQD,1996-07-14
24482,GSQD,1994-12-04
24483,GSQD,1994-11-09
24484,GSQD,1995-06-06
24485,GSQD,1997-04-30
24486,GSQD,1997-11-25
24487,GSQD,1998-10-05
24488,GSQD,1998-11-25
24489,GSQD,1998-07-28
24490,GSQD,1998-03-11
24491,GSQD,2000-10-13
24492,GSQD,2001-04-13
24493,MKSI,2002-07-16
24494,PPG,1981-11-09
24495,TLK,1980-05-30
24496,FMC,1976-07-22
24497,FMC,1976-07-22
24498,DWPP,1996-06-04
24499,NCR,2001-07-06
24500,ITT,1984-08-20
24501,FMC,1982-02-05
24502,FMC,1985-06-25
24503,FMC,1987-12-01
24504,FMC,1993-09-03
24505,FMC,1995-08-25
24506,FMC,1994-10-15
24507,FMC,1993-08-25
24508,FMC,1991-05-21
24509,AME,1987-11-09
24510,FMC,1974-10-10
24511,GSQD,1988-07-25
24512,NCR,1997-01-03
24513,GSQD,1976-12-09
24514,STE,1999-12-09
24515,UVE,1985-11-20
24516,FMC,1976-05-04
24517,FMC,1976-05-04
24518,FMC,1977-03-03
24519,DDD,1998-08-10
24520,GSQD,1995-06-09
24521,PPG,1996-12-20
24522,PPG,1998-05-08
24523,PPG,1999-05-26
24524,PPG,1999-05-26
24525,PPG,1999-05-26
24526,PPG,1999-05-26
24527,PPG,1999-05-26
24528,PPG,2001-10-02
24529,PPG,2002-11-14
24530,PPG,2003-09-02
24531,PPG,2005-12-19
24532,DNZ,2005-03-16
24533,PCPL.U,1995-08-09
24534,MMM,2006-05-02
24535,MMM,2006-05-02
24536,MMM,2006-08-23
24537,MMM,1999-11-01
24538,MMM,2001-01-08
24539,MMM,2000-11-09
24540,MMM,2000-10-27
24541,MMM,2002-08-12
24542,MMM,2002-08-12
24543,MMM,2001-11-15
24544,MMM,2003-01-29
24545,MMM,2001-11-07
24546,STE,2003-09-16
24547,LPL,1997-10-10
24548,MMM,1996-11-20
24549,MMM,1999-11-05
24550,MMM,1998-05-04
24551,MMM,1999-08-13
24552,ACIW,2005-03-01
24553,ACIW,2005-12-06
24554,MMM,1995-06-01
24555,MMM,1995-06-01
24556,RFIL,2006-09-30
24557,MMM,2002-01-16
24558,MMM,2003-02-06
24559,MMM,2002-01-16
24560,MMM,2002-01-16
24561,MMM,2004-08-19
24562,QCOM,2007-06-14
24563,LYTS,1997-06-16
24564,NVDA,2003-04-25
24565,LYTS,2003-08-26
24566,ASML,2003-02-27
24567,ASML,2003-10-31
24568,ASML,2005-09-06
24569,ASML,2005-04-15
24570,ASML,2004-08-20
24571,ASML,2005-07-25
24572,ASML,2000-09-28
24573,ASML,2001-07-16
24574,ASML,2004-02-26
24575,ASML,2004-01-28
24576,ASML,2005-03-29
24577,ASML,2004-12-17
24578,ASML,2007-01-22
24579,DNZ,1983-03-23
24580,DNZ,1983-11-10
24581,QCOM,2004-07-13
24582,SAIC,1999-08-09
24583,SAIC,2002-03-21
24584,MMM,1999-07-20
24585,MMM,2001-06-25
24586,PPL,1996-11-26
24587,GSQD,1991-05-21
24588,DNZ,2004-10-15
24589,PPG,1978-10-17
24590,SAIC,2000-05-24
24591,SAIC,1999-07-29
24592,SAIC,2002-11-26
24593,SAIC,2004-08-12
24594,SAIC,2006-01-17
24595,SAIC,2005-11-04
24596,SAIC,2006-01-27
24597,SAIC,2006-12-29
24598,SAIC,2007-02-22
24599,SAIC,2003-07-08
24600,HYTR,1995-06-07
24601,STE,1997-01-14
24602,STE,1994-08-18
24603,STE,1996-05-13
24604,MMM,1998-02-04
24605,MMM,2000-05-05
24606,MMM,2000-04-13
24607,MMM,2000-07-19
24608,MMM,2000-07-19
24609,MMM,2000-07-19
24610,MMM,2005-09-16
24611,MMM,2004-11-05
24612,MMM,2005-09-16
24613,MMM,1996-10-17
24614,MMM,1996-10-17
24615,CNHI,2002-11-05
24616,CNHI,2004-03-17
24617,CNHI,2003-10-22
24618,CNHI,2004-01-21
24619,AGNG,2000-08-08
24620,AGNG,2002-06-17
24621,LB,2005-09-27
24622,DNZ,1988-03-31
24623,JJSF,1992-12-30
24624,JJSF,1993-10-12
24625,JJSF,2002-08-20
24626,JJSF,2002-02-21
24627,EZGO,1988-10-12
24628,MMM,2002-12-18
24629,MMM,2006-07-07
24630,MMM,2003-03-11
24631,MMM,2005-12-21
24632,MMM,2005-12-21
24633,SCPE,2006-02-28
24634,SCPE,2006-02-28
24635,SCPE,2006-11-29
24636,SCPE,2006-11-29
24637,SCPE,2009-03-05
24638,NVDA,2005-12-14
24639,SAIC,2003-07-30
24640,SAIC,2002-10-15
24641,ECOL,1998-12-28
24642,ECOL,1998-02-21
24643,LYTS,1998-05-19
24644,MMM,2003-06-06
24645,MMM,2004-08-11
24646,MMM,2006-07-24
24647,LYTS,1993-06-14
24648,LYTS,1993-06-14
24649,LYTS,1994-02-10
24650,LYTS,1994-04-06
24651,LYTS,1996-09-10
24652,LYTS,1996-08-22
24653,LYTS,1992-09-18
24654,LYTS,1992-11-30
24655,LYTS,1992-12-18
24656,LYTS,1994-05-31
24657,LYTS,1995-02-10
24658,LYTS,1995-09-18
24659,PPG,1977-04-19
24660,OSIS,1996-07-17
24661,DWPP,2003-01-08
24662,GSQD,1999-03-04
24663,GSQD,1998-12-29
24664,GSQD,1999-12-21
24665,GSQD,2001-05-11
24666,GSQD,2001-05-11
24667,GSQD,2001-09-20
24668,GSQD,2001-07-05
24669,GSQD,2001-09-25
24670,GSQD,2002-07-30
24671,FMC,1980-12-19
24672,SCPE,2008-01-22
24673,ITT,2001-08-30
24674,EMKR,2002-10-24
24675,EMKR,2005-05-06
24676,QCOM,2003-03-04
24677,ADCT,2001-07-24
24678,LYTS,2004-09-30
24679,LYTS,2005-06-15
24680,LB,1999-02-12
24681,ARC,2000-03-21
24682,FMC,2000-03-06
24683,QCOM,2002-10-29
24684,QCOM,2002-10-29
24685,QCOM,2002-10-29
24686,AMNA,2001-11-02
24687,RFIL,2004-12-16
24688,NCR,2004-09-02
24689,GSQD,1989-05-30
24690,DWPP,2002-04-08
24691,DWPP,2006-08-03
24692,NXPI,2003-12-13
24693,ASML,2003-03-25
24694,ASML,2004-11-12
24695,ASML,2005-01-18
24696,MMM,2002-11-19
24697,MMM,2000-07-14
24698,MMM,2003-12-08
24699,MMM,2003-12-08
24700,UVE,1988-06-22
24701,DLHC,1992-10-21
24702,MMM,2002-08-30
24703,DWPP,2002-04-15
24704,ASML,2003-09-11
24705,LYTS,1994-05-04
24706,NCR,2004-09-02
24707,EMKR,2005-11-16
24708,EMKR,2006-05-25
24709,EMKR,2007-03-27
24710,EMKR,2005-11-16
24711,SAIC,2002-08-13
24712,SCPE,2001-11-16
24713,LYTS,2005-02-18
24714,MMM,1999-09-17
24715,MMM,2002-07-30
24716,GSQD,2008-11-12
24717,QCOM,1998-07-21
24718,QCOM,2001-06-12
24719,EEH,2001-12-14
